Sport-Indices,Distance,Similarity,Sport_X,Sport_Y
"('Basketball', 'Billiards')",2.800610295721205,0.26311563727694415,Basketball,Billiards
"('Basketball', 'Fishing')",3.1361832117070043,0.24176878750670708,Basketball,Fishing
"('Wrestling', 'Boxing')",1.1176404691057062,0.4722236916931923,Wrestling,Boxing
"('Wrestling', 'Ice Hockey')",1.0226272904937626,0.49440646069592026,Wrestling,Ice Hockey
"('Wrestling', 'Football')",0.8589267486405429,0.5379448118282837,Wrestling,Football
"('Wrestling', 'Basketball')",0.9916426272660598,0.5020981105293505,Wrestling,Basketball
"('Wrestling', 'Martial Arts')",0.7319339829199039,0.5773892133660193,Wrestling,Martial Arts
"('Wrestling', 'Tennis')",1.1751936124231563,0.4597291911343948,Wrestling,Tennis
"('Wrestling', 'Gymnastics')",0.9388528735840164,0.5157688928461476,Wrestling,Gymnastics
"('Wrestling', 'Baseball/Softball')",1.2340372451556616,0.4476201111545581,Wrestling,Baseball/Softball
"('Wrestling', 'Soccer')",1.1615646562371793,0.46262784558144354,Wrestling,Soccer
"('Wrestling', 'Skiing: Alpine')",0.9815283552852745,0.5046609589677222,Wrestling,Skiing: Alpine
"('Wrestling', 'Water Polo')",0.7075071791250509,0.5856490749938826,Wrestling,Water Polo
"('Wrestling', 'Rugby')",0.720257624924815,0.5813082793594393,Wrestling,Rugby
"('Wrestling', 'Lacrosse')",0.9926188827145531,0.5018521146591243,Wrestling,Lacrosse
"('Wrestling', 'Rodeo: Steer Wrestling')",1.0877451804197276,0.47898565848872254,Wrestling,Rodeo: Steer Wrestling
"('Wrestling', 'Track and Field: Pole Vault')",1.1092274921974858,0.47410722821470336,Wrestling,Track and Field: Pole Vault
"('Wrestling', 'Field Hockey')",1.0582449365451085,0.4858508247704289,Wrestling,Field Hockey
"('Wrestling', 'Speed Skating')",1.306004054321737,0.433650581891162,Wrestling,Speed Skating
"('Wrestling', 'Figure Skating')",0.9735824179395247,0.506692799302513,Wrestling,Figure Skating
"('Wrestling', 'Cycling: Distance')",1.219518102209552,0.45054825144453214,Wrestling,Cycling: Distance
"('Wrestling', 'Volleyball')",1.0932840182254469,0.4777182605386423,Wrestling,Volleyball
"('Wrestling', 'Racquetball/Squash')",1.4690922149573837,0.405007149567826,Wrestling,Racquetball/Squash
"('Wrestling', 'Surfing')",1.136280951774044,0.46810322358094536,Wrestling,Surfing
"('Wrestling', 'Fencing')",1.271301999271773,0.44027610609272605,Wrestling,Fencing
